Soil type,Crop,Latitude,Longitude,pH,P,K,S,OC,EC,Fertilizer Name,predictions_pH,predictions_P,predictions_K,predictions_S,predictions_OC
MixedSoil,Groundnut,14.08,77.69,6.19,7.13,41,5.16,0.18,0.07,Urea,7.334599427,6.415075564,66.52562138,1.425830009,0.394588393
RedSoil,Groundnut,14.09,77.69,8.4,10.34,102,9.91,0.31,0.33,DAP,7.409775357,11.15374698,150.0103709,28.02199918,0.395456076
MixedSoil,Groundnut,14.09,77.69,7.1,8.46,46,3.77,0.17,0.11,14-35-14,7.348612817,6.491635039,92.05345316,5.654701632,0.383966421
SandySoil,Pulses,14.1,77.7,8.3,2.31,35,4.14,0.2,0.21,28-28,7.312029738,6.891642436,119.3005155,7.023451472,0.336040499
MixedSoil,Pulses,14.09,77.69,6.4,6.08,76,1.45,0.22,0.06,Urea,7.38711622,8.197538064,75.8575502,6.641637596,0.402733313
RedSoil,Groundnut,14.09,77.69,7.78,5.68,44,2.2,0.21,0.14,17-17-17,7.327299163,7.237878189,111.6375406,9.363955621,0.360523637
MixedSoil,Groundnut,14.09,77.69,6.3,2.08,51,4.54,0.28,0.06,20-20,7.313350129,8.58136172,75.19486706,6.76843474,0.380384351
RedSoil,Groundnut,14.09,77.69,6.25,1.98,42,4.2,0.31,0.07,Urea,7.283821007,8.8418492,77.74375411,8.746181378,0.376496997
BlackSoil,Groundnut,14.1,77.7,6.32,1.32,62,2.77,0.16,0.09,28-28,7.380000578,6.66686768,58.07161113,-4.157834115,0.382143773
MixedSoil,Groundnut,14.08,77.69,7.91,2.21,60,2.89,0.25,0.21,14-35-14,7.342206211,8.511051035,115.2294843,11.10602116,0.354593229
SandySoil,Groundnut,14.08,77.69,7.76,2.06,58,12.33,0.14,0.2,DAP,7.38339209,6.591895982,96.43158621,0.320742648,0.359494806
SandySoil,Groundnut,14.08,77.69,8.2,2.14,46,2.88,0.24,0.11,17-17-17,7.31812327,7.932957307,121.6832665,10.62017483,0.342184288
RedSoil,Groundnut,14.08,77.69,6.29,1.34,60,4.63,0.22,0.09,Urea,7.353779887,7.751035406,65.57647834,1.066092807,0.382504906
SandySoil,Groundnut,14.08,77.69,8.22,1.56,73,3.4,0.13,0.13,28-28,7.413686607,6.751020562,106.340156,1.547598776,0.353154404
